disposition,candidate_id,path,gas,effective_gas_price_gwei,cost_wei,cost_eth,cost_usd
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,0.1,1666464150000000,0.00166646415,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,0.5,8332320750000000,0.00833232075,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,1,16664641500000000,0.0166646415,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,5,83323207500000000,0.0833232075,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,10,166646415000000000,0.166646415,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_a_p50,16664641.5,50,833232075000000000,0.833232075,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,0.1,1395975950000000,0.00139597595,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,0.5,6979879750000000,0.00697987975,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,1,13959759500000000,0.0139597595,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,5,69798797500000000,0.0697987975,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,10,139597595000000000,0.139597595,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,part_b_p50,13959759.5,50,697987975000000000,0.697987975,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,0.1,3062138650000000,0.00306213865,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,0.5,15310693250000000,0.01531069325,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,1,30621386500000000,0.0306213865,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,5,153106932500000000,0.1531069325,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,10,306213865000000000,0.306213865,NOT_EVALUATED
NON_FINALIST_CONTEXT,C00/v03-baseline,complete_two_call_p50,30621386.5,50,1531069325000000000,1.531069325,NOT_EVALUATED
